"Country","Player","Goals","X1982","X1986","X2010","X2014","X1962","X1966","X1970","X1974","X1994","X1998","X1990","X2002","X1930","X1950","X2006","X1938","X1934","X1954","X1958","X1978"
"Chile","Charles Aránguiz",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile","Mark González",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile","Juan Carlos Letelier",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile","Rodrigo Millar",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile","Gustavo Moscoso",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile","Miguel Ángel Neira",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile","Andrés Prieto",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Chile","Fernando Riera",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Chile","George Robledo",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Chile","José Luis Sierra",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Chile","Jorge Valdivia",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile","Eduardo Vargas",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile","Own goals",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"China","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia","James Rodríguez",6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia","Jackson Martínez",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia","Bernardo Redín",2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Colombia","Adolfo Valencia",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Colombia","Germán Aceros",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia","Pablo Armero",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia","Marcos Coll",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia","Juan Guillermo Cuadrado",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia","Hernán Gaviria",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Colombia","Teófilo Gutiérrez",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia","Marino Klinger",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia","Harold Lozano",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Colombia","Léider Preciado",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Colombia","Juan Fernando Quintero",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia","Antonio Rada",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia","Freddy Rincón",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Colombia","Carlos Valderrama",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Colombia","Francisco Zuluaga",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Costa Rica","Rónald Gómez",3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
"Costa Rica","Paulo Wanchope",3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
"Costa Rica","Bryan Ruiz",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Costa Rica","Joel Campbell",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Costa Rica","Juan Cayasso",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Costa Rica","Óscar Duarte",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Costa Rica","Róger Flores",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Costa Rica","Rónald González",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Costa Rica","Hernán Medford",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Costa Rica","Winston Parks",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Costa Rica","Marco Ureña",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Costa Rica","Mauricio Wright",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Croatia","Davor Šuker",6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"Croatia","Mario Mandžuki?",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croatia","Ivica Oli?",2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Croatia","Ivan Periši?",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croatia","Robert Prosine?ki",2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Croatia","Robert Jarni",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Croatia","Niko Kova?",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Croatia","Milan Rapai?",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Croatia","Darijo Srna",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Croatia","Mario Stani?",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Croatia","Goran Vlaovi?",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Croatia","Own goals",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cuba","Héctor Socorro",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Cuba","Tomás Fernández",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cuba","José Magriñá",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Czech Republic","Tomáš Rosický",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Czech Republic","Jan Koller",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Angola","Flávio",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Czechoslovakia","Old?ich Nejedlý",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0
"Czechoslovakia","Tomáš Skuhravý",5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"Czechoslovakia","Zden?k Zikán",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"Czechoslovakia","Adolf Scherer",3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Czechoslovakia","Michal Bílek",2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Czechoslovakia","Milan Dvo?ák",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
